case_prop_diff_over_T
6.199001822070824e-4
2.8964705544631196e-4
4.514954148938471e-4
3.7021310564924444e-4
0.00033157326974393914
7.383696116090482e-4
5.399266686135177e-4
6.675828370743625e-4
4.99472522213884e-4
3.1388604571818497e-4
5.591653865847415e-4
3.448636967293879e-4
5.809617897319864e-4
4.539857594089619e-4
3.859009249127926e-4
2.1837434413419772e-4
3.9030578493100585e-4
4.440593340292345e-4
4.922269081286694e-4
4.8241765297605036e-4
5.967505401276237e-4
4.392626079038815e-4
4.980037969735886e-4
6.857017467847029e-4
4.6014881278039167e-4
7.087799398814912e-4
3.6822260003029945e-4
7.266725352112677e-4
3.567545653896475e-4
7.299325256572605e-4
4.929221382758425e-4
4.809218219277242e-4
3.399038026177391e-4
4.68668095520203e-4
3.477270400327634e-4
6.80658064300179e-4
6.980013093541804e-4
6.737447341455084e-4
4.481044505649796e-4
4.273427149941142e-4
4.4806243272335844e-4
1.7374276682972624e-4
3.28693940672009e-4
6.514573213046496e-4
4.4830045900012404e-4
3.9504798998469886e-4
2.625853872530149e-4
4.601597452858672e-4
4.75897013641077e-4
4.900228642693827e-4
4.3998065157140623e-4
3.184641952050954e-4
4.832481473613176e-4
6.363154933306854e-4
3.7402736785618467e-4
1.695043609965007e-4
3.9562284881813583e-4
4.6073060513493724e-4
4.431818832652733e-4
5.912887445794972e-4
3.1048847724520997e-4
0.0010001958775797237
7.496290281370835e-4
5.746473927547257e-4
4.313021804276047e-4
6.763542154303927e-4
3.112844140639752e-4
3.929987026670585e-4
5.754680945756047e-4
4.216579669114395e-4
5.600476202608461e-4
4.3105782247147557e-4
6.035392721524851e-4
2.7299854830904887e-4
7.102582376121405e-4
4.466124129816648e-4
5.49915654777283e-4
6.961200255978764e-4
7.356070539470677e-4
3.816028609954858e-4
6.561709625166956e-4
3.7905925946638415e-4
7.686643485375333e-4
6.817784001400315e-4
2.7297150004681575e-4
4.364131340630034e-4
4.529868254827648e-4
5.074212258752583e-4
4.676453260015711e-4
4.742186055113742e-4
6.568727091275329e-4
4.7193631800436037e-4
6.900470376268209e-4
6.690040644949985e-4
3.678583361176077e-4
2.4259041402603315e-4
4.774755341113699e-4
6.716715542521994e-4
7.546185362734734e-4
7.682511532257303e-4
4.345275430438629e-4
4.8167127486195685e-4
5.958907482334403e-4
3.098564263727748e-4
1.9194558828705176e-4
3.8406154262464606e-4
5.402572269483531e-4
4.141869552149083e-4
3.3926920448607153e-4
3.6100014795088027e-4
3.3587243125601644e-4
4.521868050407709e-4
8.322770301248685e-4
